state,state_num,year,treated,post,treatedpost,xit,xt,xi,y
Alabama,1,1961,1,0,0,-3.114551182,0.939524353,7.253318514,7.92844328
Alabama,1,1962,1,0,0,-2.131944686,1.769822511,7.253318514,13.07875579
Alabama,1,1963,1,0,0,-2.046408749,4.058708314,7.253318514,17.15457698
Alabama,1,1964,1,0,0,-1.526399725,3.070508391,7.253318514,19.73146012
Alabama,1,1965,1,0,0,3.402274668,3.629287735,7.253318514,36.6717242
Alabama,1,1966,1,0,0,9.255717062,5.715064987,7.253318514,56.40317696
Alabama,1,1967,1,0,0,-3.712797748,4.960916206,7.253318514,18.80439931
Alabama,1,1968,1,0,0,10.95311281,3.734938765,7.253318514,63.29927675
Alabama,1,1969,1,0,0,18.35618296,4.813147148,7.253318514,88.0791954
Alabama,1,1970,1,0,0,24.40644661,5.55433803,7.253318514,110.5365014
Alabama,1,1971,1,0,0,21.16401199,7.724081797,7.253318514,103.2495344
Alabama,1,1972,1,0,0,19.08216527,7.359813827,7.253318514,99.09864404
Alabama,1,1973,1,0,0,5.278765861,7.900771451,7.253318514,57.88897906
Alabama,1,1974,1,0,0,13.28951715,8.110682716,7.253318514,84.41749859
Alabama,1,1975,1,0,0,16.00642774,7.944158865,7.253318514,94.18570784
Alabama,1,1976,1,0,0,23.59613651,10.78691314,7.253318514,118.8498621
Alabama,1,1977,1,0,0,19.91365516,9.997850478,7.253318514,110.8680862
Alabama,1,1978,1,0,0,14.15306989,8.033382843,7.253318514,92.89870624
Alabama,1,1979,1,0,0,33.15247886,11.2013559,7.253318514,154.461022
Alabama,1,1980,1,0,0,29.68852306,10.52720859,7.253318514,143.6299057
Alabama,1,1981,1,0,0,26.8235095,10.43217629,7.253318514,139.9163893
Alabama,1,1982,1,0,0,33.96050876,11.78202509,7.253318514,161.6190362
Alabama,1,1983,1,0,0,19.71355345,11.47399555,7.253318514,120.3669494
Alabama,1,1984,1,0,0,33.00972773,12.27110877,7.253318514,163.9330016
Alabama,1,1985,1,0,0,27.06323142,12.87496073,7.253318514,148.3065858
Alabama,1,1986,1,0,0,35.56623861,12.31330669,7.253318514,172.526269
Alabama,1,1987,1,0,0,32.27442105,15.33778704,7.253318514,170.9104243
Alabama,1,1988,1,0,0,37.6771849,15.15337312,7.253318514,185.8905529
Alabama,1,1989,1,0,0,43.13298751,14.36186306,7.253318514,203.5490724
Alabama,1,1990,1,0,0,36.31304446,17.25381492,7.253318514,185.2996686
Alabama,1,1991,1,0,0,43.6289115,16.92646422,7.253318514,211.1837678
Alabama,1,1992,1,0,0,31.50302778,16.70492852,7.253318514,175.6604749
Alabama,1,1993,1,0,0,35.533899,18.39512566,7.253318514,190.4546292
Alabama,1,1994,1,0,0,50.28825279,18.87813349,7.253318514,234.9312938
Alabama,1,1995,1,0,0,44.59505259,19.32158108,7.253318514,219.189286
Alabama,1,1996,1,0,0,31.11743545,19.68864025,7.253318514,182.7113982
Alabama,1,1997,1,0,0,36.48636458,20.05391765,7.253318514,199.8816097
